id	e	k	m	t
34	0	7	6143	2.0
35	0	7	4808	3.0
36	0	7	6308	3.0
37	0	7	5288	4.0
38	0	7	7929	4.0
39	0	7	5608	3.0
40	0	7	5783	3.0
41	0	7	6174	3.0
42	0	7	7552	3.0
43	0	7	6999	3.0
44	0	7	5612	3.0
45	0	7	7187	3.0
46	0	7	5951	3.0
47	0	7	6444	2.0
48	0	7	3140	2.0
49	0	7	1458	1.0
50	0	7	7471	4.0
51	0	7	3209	2.0
52	0	7	6588	3.0
53	0	7	4617	2.0
54	0	7	5005	3.0
55	0	7	10248	4.0
56	0	7	5696	3.0
57	0	7	5909	3.0
58	0	7	5026	2.0
59	0	7	5622	3.0
60	0	7	5201	3.0
61	0	7	6675	3.0
62	0	7	5814	3.0
63	0	7	6137	3.0
64	0	7	7984	3.0
65	0	7	6875	3.0
66	0	7	5499	3.0
67	0	7	6170	3.0
68	0	7	6840	3.0
69	0	7	7401	3.0
70	0	7	6076	4.0
71	0	7	5314	3.0
72	0	7	5740	3.0
73	0	7	6111	4.0
74	0	7	4846	2.0
75	0	7	2175	1.0
76	0	7	6440	3.0
77	0	7	4578	4.0
78	0	7	5412	3.0
79	0	7	5941	3.0
80	0	7	6905	3.0
81	0	7	7631	3.0
82	0	7	7274	3.0
83	0	7	5473	3.0
84	0	7	2069	1.0
85	0	7	5952	3.0
86	0	7	5323	3.0
87	0	7	6190	3.0
88	0	7	6181	3.0
89	0	7	9549	4.0
90	0	7	17509	6.0
91	0	7	3116	2.0
92	0	7	5193	2.0
93	0	7	1343	1.0
94	0	7	5845	3.0
95	0	7	4564	2.0
96	0	7	5992	3.0
97	0	7	6034	3.0
98	0	7	5822	3.0
99	0	7	5882	3.0
0	1	7	131782	38.0
1	1	7	137933	40.0
2	1	7	132081	39.0
3	1	7	144430	40.0
4	1	7	140513	39.0
5	1	7	91800	31.0
6	1	7	142462	39.0
7	1	7	122689	37.0
8	1	7	139968	40.0
9	1	7	101491	35.0
10	1	7	161780	42.0
11	1	7	157095	42.0
12	1	7	80263	30.0
13	1	7	127129	38.0
14	1	7	151386	40.0
15	1	7	145677	41.0
16	1	7	155366	42.0
17	1	7	147668	39.0
18	1	7	137113	40.0
19	1	7	187111	44.0
20	1	7	28428	13.0
21	1	7	36366	16.0
22	1	7	112095	34.0
23	1	7	131369	38.0
24	1	7	141517	41.0
25	1	7	143428	39.0
26	1	7	98328	32.0
27	1	7	34551	19.0
28	1	7	140791	40.0
29	1	7	119542	34.0
30	1	7	136625	38.0
31	1	7	100853	33.0
32	1	7	136153	39.0
33	1	7	107379	34.0
34	1	7	142808	40.0
35	1	7	120036	38.0
36	1	7	144831	40.0
37	1	7	125344	37.0
38	1	7	168659	43.0
39	1	7	131317	37.0
40	1	7	137304	38.0
41	1	7	143529	40.0
42	1	7	158436	40.0
43	1	7	157073	42.0
44	1	7	133925	40.0
45	1	7	159925	42.0
46	1	7	134782	36.0
47	1	7	143843	40.0
48	1	7	83229	29.0
49	1	7	42232	19.0
50	1	7	159588	45.0
51	1	7	86338	31.0
52	1	7	143244	39.0
53	1	7	116462	37.0
54	1	7	122343	37.0
55	1	7	198757	44.0
56	1	7	133048	38.0
57	1	7	135123	38.0
58	1	7	117784	34.0
59	1	7	132163	41.0
60	1	7	124109	37.0
61	1	7	151869	39.0
62	1	7	134217	38.0
63	1	7	141737	39.0
64	1	7	171333	42.0
65	1	7	150155	41.0
66	1	7	128828	37.0
67	1	7	141105	39.0
68	1	7	147921	40.0
69	1	7	161423	41.0
70	1	7	139051	38.0
71	1	7	127829	41.0
72	1	7	135887	39.0
73	1	7	139735	39.0
74	1	7	118483	36.0
75	1	7	65509	27.0
76	1	7	148896	40.0
77	1	7	114741	37.0
78	1	7	128418	37.0
79	1	7	141462	41.0
80	1	7	154174	44.0
81	1	7	166470	47.0
82	1	7	159282	44.0
83	1	7	128915	37.0
84	1	7	59379	24.0
85	1	7	138892	38.0
86	1	7	128421	42.0
87	1	7	142620	40.0
88	1	7	143085	39.0
89	1	7	191495	49.0
90	1	7	256380	71.0
91	1	7	83665	29.0
92	1	7	123545	36.0
93	1	7	39536	16.0
94	1	7	136112	38.0
95	1	7	114312	36.0
96	1	7	137050	40.0
97	1	7	138611	121.0
98	1	7	133208	37.0
99	1	7	134795	37.0
0	2	7	1124267	340.0
1	2	7	1160879	342.0
2	2	7	1124665	334.0
3	2	7	1194446	340.0
4	2	7	1157603	343.0
5	2	7	872037	301.0
6	2	7	1173958	339.0
7	2	7	1067336	323.0
8	2	7	1165702	340.0
9	2	7	949667	317.0
10	2	7	1256105	344.0
11	2	7	1226524	336.0
12	2	7	800499	295.0
13	2	7	1105492	338.0
14	2	7	1211743	344.0
15	2	7	1183993	336.0
16	2	7	1226649	348.0
17	2	7	1183629	338.0
18	2	7	1132508	339.0
19	2	7	1351473	344.0
20	2	7	339004	149.0
21	2	7	414543	176.0
22	2	7	998834	316.0
23	2	7	1103575	339.0
24	2	7	1172086	339.0
25	2	7	1182484	341.0
26	2	7	911090	305.0
27	2	7	408240	193.0
28	2	7	1163576	347.0
29	2	7	1041568	326.0
30	2	7	1132485	335.0
31	2	7	926772	308.0
32	2	7	1145373	350.0
33	2	7	965651	313.0
34	2	7	1179201	343.0
35	2	7	1063553	336.0
36	2	7	1185935	350.0
37	2	7	1077586	328.0
38	2	7	1278810	346.0
39	2	7	1104284	328.0
40	2	7	1158753	343.0
41	2	7	1188206	344.0
42	2	7	1213603	338.0
43	2	7	1241257	342.0
44	2	7	1130739	337.0
45	2	7	1250862	346.0
46	2	7	1100866	320.0
47	2	7	1168564	344.0
48	2	7	805093	292.0
49	2	7	458464	211.0
50	2	7	1238710	342.0
51	2	7	840463	299.0
52	2	7	1131688	320.0
53	2	7	1043572	337.0
54	2	7	1072591	332.0
55	2	7	1381796	342.0
56	2	7	1114868	336.0
57	2	7	1124467	329.0
58	2	7	1012028	316.0
59	2	7	1109658	328.0
60	2	7	1070553	330.0
61	2	7	1223859	348.0
62	2	7	1120724	336.0
63	2	7	1168863	347.0
64	2	7	1297075	354.0
65	2	7	1193564	339.0
66	2	7	1091291	336.0
67	2	7	1162796	346.0
68	2	7	1170405	341.0
69	2	7	1255555	348.0
70	2	7	1139973	343.0
71	2	7	1093434	333.0
72	2	7	1147043	337.0
73	2	7	1152306	336.0
74	2	7	1037696	336.0
75	2	7	693434	282.0
76	2	7	1211783	355.0
77	2	7	1029932	340.0
78	2	7	1097399	339.0
79	2	7	1180440	355.0
80	2	7	1225973	352.0
81	2	7	1274084	360.0
82	2	7	1251676	353.0
83	2	7	1097036	339.0
84	2	7	621652	268.0
85	2	7	1154756	355.0
86	2	7	1105584	334.0
87	2	7	1176088	344.0
88	2	7	1180666	342.0
89	2	7	1361966	354.0
90	2	7	1497676	458.0
91	2	7	814261	451.0
92	2	7	1068614	331.0
93	2	7	443650	186.0
94	2	7	1137656	352.0
95	2	7	1031361	329.0
96	2	7	1129417	435.0
97	2	7	1145415	334.0
98	2	7	1103132	327.0
99	2	7	1121406	331.0
0	3	7	4513107	1771.0
1	3	7	4584725	1907.0
2	3	7	4514553	1869.0
3	3	7	4637148	1844.0
4	3	7	4559097	1793.0
5	3	7	3939681	1638.0
6	3	7	4598951	1800.0
7	3	7	4390100	1760.0
8	3	7	4586350	1791.0
9	3	7	4151844	1714.0
10	3	7	4721670	1819.0
11	3	7	4663066	1789.0
12	3	7	3758952	1621.0
13	3	7	4488422	1778.0
14	3	7	4646584	1817.0
15	3	7	4610476	1801.0
16	3	7	4676248	1816.0
17	3	7	4596536	1802.0
18	3	7	4512285	1773.0
19	3	7	4851183	1812.0
20	3	7	1997582	890.0
21	3	7	2327630	1041.0
22	3	7	4224948	1710.0
23	3	7	4446114	1774.0
24	3	7	4596075	1821.0
25	3	7	4613892	1805.0
26	3	7	4029782	1660.0
27	3	7	2330010	1178.0
28	3	7	4578177	1802.0
29	3	7	4329644	1736.0
30	3	7	4508448	1756.0
31	3	7	4063740	1674.0
32	3	7	4550286	1795.0
33	3	7	4154034	1693.0
34	3	7	4607004	1799.0
35	3	7	4399298	1770.0
36	3	7	4618727	1802.0
37	3	7	4413268	1745.0
38	3	7	4749866	1818.0
39	3	7	4452295	1763.0
40	3	7	4578140	1798.0
41	3	7	4629576	1810.0
42	3	7	4617474	1791.0
43	3	7	4701270	1817.0
44	3	7	4515364	1778.0
45	3	7	4707369	1825.0
46	3	7	4396553	1713.0
47	3	7	4575869	1772.0
48	3	7	3718112	1543.0
49	3	7	2442635	1282.0
50	3	7	4690786	1820.0
51	3	7	3867525	1635.0
52	3	7	4441462	1715.0
53	3	7	4362250	1760.0
54	3	7	4420062	1759.0
55	3	7	4885494	1821.0
56	3	7	4477408	1815.0
57	3	7	4495958	1767.0
58	3	7	4205498	1676.0
59	3	7	4455919	1766.0
60	3	7	4400551	1759.0
61	3	7	4680043	1814.0
62	3	7	4491091	1817.0
63	3	7	4589190	1795.0
64	3	7	4779830	1822.0
65	3	7	4614335	1815.0
66	3	7	4432450	1756.0
67	3	7	4574848	1779.0
68	3	7	4548792	1765.0
69	3	7	4719813	1813.0
