name,C,F,T,k6s1,k6s2,k6s4,k6s8,k6s16,k6s32,k6s64,k7s1,k7s2,k7s4,k7s8,k7s16,k7s32,k7s64,k8s1,k8s2,k8s4,k8s8,k8s16,k8s32,k8s64,k9s1,k9s2,k9s4,k9s8,k9s16,k9s32,k9s64,k10s1,k10s2,k10s4,k10s8,k10s16,k10s32,k10s64,k11s1,k11s2,k11s4,k11s8,k11s16,k11s32,k11s64,k12s1,k12s2,k12s4,k12s8,k12s16,k12s32,k12s64
AFMarkov1_70_50_15,70,50,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,1,0,0,0,0,0,48,160,0,0,0,0,0,0,0,11,7,
AFMarkov1_70_50_70,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AFMarkov1_70_50_95,70,50,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AFMarkov1_70_500_15,70,500,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AFMarkov1_70_500_70,70,500,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AFMarkov1_70_500_95,70,500,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AFMarkov1_80_1_15,80,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6050,13179,37,0,0,0,0,30403,342010,1690711,1559036,289,0,0,102360,410423,12123733,45087646,16579797,609521,6,212473,9581890,41871521,66903879,131711454,19500935,1007391,61917,4119591,130370996,1821507627,484638757,27289441,6687806,
AFMarkov1_80_1_70,80,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6050,13179,37,0,0,0,0,30398,342010,1690711,1559036,289,0,0,3597,365338,12122500,45087646,16579797,609521,6,253,30038,1681484,58288990,131701179,19500935,1007391,21,2294,139948,5433466,19817485,23994267,6687110,
AFMarkov1_80_1_95,80,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5986,13179,37,0,0,0,0,326,57353,1667316,1559036,289,0,0,2,1105,123500,7045402,16384654,609521,6,0,18,2483,187921,1352630,3099384,995572,0,0,33,3873,30406,78397,65963,
AFMarkov1_80_5_15,80,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,864,25,0,0,0,0,239,11351,21641,128347,289,0,0,9605,37180,95134,1792792,215600,38236,6,588,116110,3867138,6510401,1023105,688485,11340,113,8478,368099,21175580,45968683,2433771,51624,
AFMarkov1_80_5_70,80,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,864,25,0,0,0,0,233,11351,21641,128347,289,0,0,3,431,93795,1792792,215600,38236,6,0,19,1382,65397,1011914,688485,11340,0,2,138,4998,19515,28850,50842,
