name,C,F,T,k6s1,k6s2,k6s4,k6s8,k6s16,k6s32,k6s64,k7s1,k7s2,k7s4,k7s8,k7s16,k7s32,k7s64,k8s1,k8s2,k8s4,k8s8,k8s16,k8s32,k8s64,k9s1,k9s2,k9s4,k9s8,k9s16,k9s32,k9s64,k10s1,k10s2,k10s4,k10s8,k10s16,k10s32,k10s64,k11s1,k11s2,k11s4,k11s8,k11s16,k11s32,k11s64,k12s1,k12s2,k12s4,k12s8,k12s16,k12s32,k12s64
ABMarkov1_70_10_70,70,10,70,0,15,10,0,14,0,0,0,0,0,562,173,0,1,0,0,0,0,0,373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_70_10_95,70,10,95,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_70_15_15,70,15,15,0,0,1,0,0,0,0,0,0,0,5,13,0,0,3,67,17,0,0,5,0,0,15,547,11993,421,0,0,0,0,4,360,2940,5279,17,0,0,1,40,164,246,129,0,0,0,2,7,10,6,
ABMarkov1_70_15_70,70,15,70,0,0,1,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_70_15_95,70,15,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_70_20_15,70,20,15,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,14,10,0,0,0,0,0,0,15,1842,291,0,0,0,0,0,0,55,956,16,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
ABMarkov1_70_20_70,70,20,70,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_70_20_95,70,20,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_70_50_15,70,50,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_70_50_70,70,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_70_50_95,70,50,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_70_500_15,70,500,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_70_500_70,70,500,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_70_500_95,70,500,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_80_1_15,80,1,15,815,312,2806,37076,220,0,0,221,9565,144806,93358,17578,22124,0,1354,1829,39241,531161,1058430,21084,1148,19861,669106,1100432,189553,292105,256879,67803,7860,336894,6909024,75062265,13989211,78828,16094,2554,132616,3076984,44902112,68737060,32716623,512669,881,47629,1268197,20495174,33024069,18381200,3336329,
ABMarkov1_80_1_70,80,1,70,815,312,2806,37076,220,0,0,221,9565,144806,93358,17578,22124,0,39,1661,39241,531161,1058430,21084,1148,5,275,7091,117644,292098,256879,67803,1,51,1376,23786,58693,52776,16094,0,4,183,4200,11443,10410,3323,0,0,12,457,1922,1849,563,
ABMarkov1_80_1_95,80,1,95,1,98,2806,37076,220,0,0,0,4,212,4502,17554,22124,0,0,0,7,281,1432,2288,1148,0,0,0,5,57,134,99,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_80_5_15,80,5,15,2,171,0,4,192,0,0,0,1,189,10553,25,1,0,774,168,1,26,1047,4445,0,13,2234,206278,70522,32,57,91,3,189,5419,190732,1839008,26194,3,1,76,2003,32053,60910,85583,96141,0,20,797,14737,25975,14948,3138,
ABMarkov1_80_5_70,80,5,70,2,171,0,4,192,0,0,0,1,189,10553,25,1,0,0,0,1,26,1047,4445,0,0,0,0,1,25,57,91,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_80_5_95,80,5,95,0,0,0,4,192,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_80_10_15,80,10,15,0,2,0,0,4,0,0,0,0,0,168,3,0,0,16,46,0,0,0,108,0,2,74,3360,14457,7,0,0,1,36,626,7642,26377,6398,0,0,4,136,2231,3951,2598,1328,0,1,44,879,1611,986,194,
ABMarkov1_80_10_70,80,10,70,0,2,0,0,4,0,0,0,0,0,168,3,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_80_10_95,80,10,95,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_80_15_15,80,15,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,4,0,0,0,3,0,0,15,547,2482,7,0,0,0,0,4,360,2928,1246,0,0,0,1,40,164,246,129,0,0,0,2,7,10,6,
ABMarkov1_80_15_70,80,15,70,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_80_15_95,80,15,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_80_20_15,80,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,330,7,0,0,0,0,0,0,55,127,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
ABMarkov1_80_20_70,80,20,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_80_20_95,80,20,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_80_50_15,80,50,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_80_50_70,80,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_80_50_95,80,50,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_80_500_15,80,500,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_80_500_70,80,500,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_80_500_95,80,500,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_90_1_15,90,1,15,813,145,2806,37069,28,0,0,221,9565,144793,85300,17554,22124,0,585,1662,39241,531161,1058391,17256,1148,19861,668950,905264,119530,292098,256879,67799,7860,336894,6909024,75054435,12286882,52872,16094,2554,132616,3076984,44902112,68737060,32714711,420715,881,47629,1268197,20495174,33024069,18381200,3336329,
ABMarkov1_90_1_70,90,1,70,813,145,2806,37069,28,0,0,221,9565,144793,85300,17554,22124,0,39,1661,39241,531161,1058391,17256,1148,5,275,7091,117644,292098,256879,67799,1,51,1376,23786,58693,52776,16094,0,4,183,4200,11443,10410,3323,0,0,12,457,1922,1849,563,
ABMarkov1_90_1_95,90,1,95,1,98,2806,37069,28,0,0,0,4,212,4502,17554,22124,0,0,0,7,281,1432,2288,1148,0,0,0,5,57,134,99,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_90_5_15,90,5,15,2,0,0,4,0,0,0,0,1,129,113,0,1,0,2,1,1,26,836,20,0,13,1629,4463,224,25,57,80,3,189,5419,163121,56954,101,3,1,76,2003,32053,60910,74034,2277,0,20,797,14737,25975,14948,3138,
ABMarkov1_90_5_70,90,5,70,2,0,0,4,0,0,0,0,1,129,113,0,1,0,0,0,1,26,836,20,0,0,0,0,1,25,57,80,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_90_5_95,90,5,95,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_90_10_15,90,10,15,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,1,0,0,0,1,0,2,74,1116,217,0,0,0,1,36,626,7642,12749,97,0,0,4,136,2231,3951,2598,729,0,1,44,879,1611,986,194,
ABMarkov1_90_10_70,90,10,70,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_90_10_95,90,10,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_90_15_15,90,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,48,18,0,0,0,0,0,4,360,514,5,0,0,0,1,40,164,246,41,0,0,0,2,7,10,6,
ABMarkov1_90_15_70,90,15,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_90_15_95,90,15,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_90_20_15,90,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,43,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
ABMarkov1_90_20_70,90,20,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_90_20_95,90,20,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_90_50_15,90,50,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_90_50_70,90,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_90_50_95,90,50,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ABMarkov1_90_500_15,90,500,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
