id	e	k	m	t
0	1	8	351685	158.0
1	1	8	368997	153.0
2	1	8	349610	155.0
3	1	8	383015	163.0
4	1	8	391960	162.0
5	1	8	231532	101.0
6	1	8	391779	163.0
7	1	8	324519	137.0
8	1	8	384187	160.0
9	1	8	247100	113.0
10	1	8	477772	196.0
11	1	8	463617	189.0
12	1	8	190482	91.0
13	1	8	327854	161.0
14	1	8	424257	178.0
15	1	8	421304	164.0
16	1	8	454532	178.0
17	1	8	429723	170.0
18	1	8	391225	154.0
19	1	8	590524	218.0
20	1	8	67780	33.0
21	1	8	86894	43.0
22	1	8	287067	133.0
23	1	8	363377	149.0
24	1	8	385523	159.0
25	1	8	387894	158.0
26	1	8	251908	111.0
27	1	8	78719	42.0
28	1	8	388240	161.0
29	1	8	317948	135.0
30	1	8	380017	157.0
31	1	8	261919	111.0
32	1	8	369624	162.0
33	1	8	278931	119.0
34	1	8	384348	171.0
35	1	8	305259	135.0
36	1	8	403674	171.0
37	1	8	338729	139.0
38	1	8	513404	200.0
39	1	8	361444	151.0
40	1	8	363118	154.0
41	1	8	390344	155.0
42	1	8	494694	186.0
43	1	8	448378	180.0
44	1	8	361443	151.0
45	1	8	450121	185.0
46	1	8	383925	154.0
47	1	8	412942	166.0
48	1	8	200557	94.0
49	1	8	105359	50.0
50	1	8	481348	182.0
51	1	8	211801	105.0
52	1	8	444616	166.0
53	1	8	291494	129.0
54	1	8	319508	130.0
55	1	8	672224	238.0
56	1	8	368033	150.0
57	1	8	379342	147.0
58	1	8	321401	129.0
59	1	8	359258	150.0
60	1	8	338231	139.0
61	1	8	417935	162.0
62	1	8	371879	151.0
63	1	8	395191	161.0
64	1	8	511284	191.0
65	1	8	451734	172.0
66	1	8	357496	145.0
67	1	8	395235	157.0
68	1	8	447379	171.0
69	1	8	474449	184.0
70	1	8	390380	154.0
71	1	8	339801	143.0
72	1	8	365956	155.0
73	1	8	396121	147.0
74	1	8	314788	133.0
75	1	8	148802	77.0
76	1	8	399823	166.0
77	1	8	294836	124.0
78	1	8	344210	146.0
79	1	8	376499	160.0
80	1	8	439823	173.0
81	1	8	488113	203.0
82	1	8	461668	187.0
83	1	8	352202	140.0
84	1	8	141272	79.0
85	1	8	372994	156.0
86	1	8	344187	148.0
87	1	8	388197	154.0
88	1	8	386242	161.0
89	1	8	617074	223.0
90	1	8	379049	153.0
91	1	8	333177	141.0
92	1	8	377684	153.0
93	1	8	310374	123.0
94	1	8	381883	158.0
95	1	8	182226	89.0
96	1	8	376163	157.0
97	1	8	355370	149.0
98	1	8	394531	163.0
99	1	8	456611	183.0
0	2	8	7188283	2894.0
1	2	8	7504952	3010.0
2	2	8	7163044	2905.0
3	2	8	7833797	3182.0
4	2	8	7792959	3115.0
5	2	8	4900727	2099.0
6	2	8	7837811	3112.0
7	2	8	6672900	2722.0
8	2	8	7688144	3045.0
9	2	8	5344905	2351.0
10	2	8	9099055	3473.0
11	2	8	8847952	3432.0
12	2	8	4246100	1973.0
13	2	8	6847354	2845.0
14	2	8	8387126	3322.0
15	2	8	8145985	3101.0
16	2	8	8738659	3363.0
17	2	8	8247559	3200.0
18	2	8	7608839	2938.0
19	2	8	10783282	3938.0
20	2	8	1590136	745.0
21	2	8	1994428	927.0
22	2	8	6010450	2520.0
23	2	8	7289744	2946.0
24	2	8	7744145	3070.0
25	2	8	7858520	3129.0
26	2	8	5306720	2268.0
27	2	8	1885968	1004.0
28	2	8	7736690	3044.0
29	2	8	6529360	2688.0
30	2	8	7542012	2965.0
31	2	8	5444235	2293.0
32	2	8	7452344	2973.0
33	2	8	5793131	2447.0
34	2	8	7791048	3114.0
35	2	8	6453843	2712.0
36	2	8	8001593	3110.0
37	2	8	6821090	2718.0
38	2	8	9572430	3608.0
39	2	8	7245416	2882.0
40	2	8	7468130	2990.0
41	2	8	7860059	3119.0
42	2	8	9022923	3407.0
43	2	8	8730443	3385.0
44	2	8	7354605	2966.0
45	2	8	8877185	3475.0
46	2	8	7531748	2897.0
47	2	8	7962018	3024.0
48	2	8	4385692	1949.0
49	2	8	2345176	1150.0
50	2	8	8989408	3336.0
51	2	8	4594184	2085.0
52	2	8	8267948	3082.0
53	2	8	6192080	2621.0
54	2	8	6618966	2710.0
55	2	8	11674496	4054.0
56	2	8	7355710	2906.0
57	2	8	7505820	2932.0
58	2	8	6422926	2546.0
59	2	8	7261105	2866.0
60	2	8	6803446	2718.0
61	2	8	8344903	3338.0
62	2	8	7366456	2971.0
63	2	8	7811322	3098.0
64	2	8	9684515	3701.0
65	2	8	8478984	3281.0
66	2	8	7101213	2832.0
67	2	8	7769774	3015.0
68	2	8	8387197	3174.0
69	2	8	9056085	3417.0
70	2	8	7702554	3069.0
71	2	8	6986507	2854.0
72	2	8	7437202	2990.0
73	2	8	7736853	2984.0
74	2	8	6439011	2654.0
75	2	8	3444166	1692.0
76	2	8	8092316	3198.0
77	2	8	6191616	2596.0
78	2	8	7017997	2835.0
79	2	8	7715263	3136.0
80	2	8	8580838	3369.0
81	2	8	9375537	3684.0
